method,n,EN,MI,SD,SF,AG,SSIM,MS_SSIM,Qabf,VIF,SSIM_hm,MS_SSIM_hm,Qabf_hm,VIF_hm,MI_hm,Nabf,SCD,CC,PSNR,Balance,MI_A,MI_B,SSIM_A,SSIM_B,FuncCorr,FuncSal,AvgRank
PIAFusion,30,6.565002715598913,3.906201014433092,24.9457432535802,10.713346676594202,5.224324044820928,0.53445346781119,0.6440480521005372,0.6660974586482825,0.0882034744985444,0.214516031630031,0.4632896584430348,0.3077162829104468,0.0150861293986959,0.4076910012766631,0.1031044163712208,1.5811836218472817,0.5201244996065922,13.957752405118235,0.1448606022804676,0.2180092498704758,3.688191764562616,0.128792452367841,0.9401144832545388,0.3554322816042859,0.2211913604598295,6.888888888888889
SwinFusion,30,6.580918219944452,4.696451787688664,25.63254820339999,9.75493761590559,4.678946006395803,0.5405096925589139,0.6086535278188878,0.6776692516862638,0.117605593298595,0.1736145445538216,0.3497255463991521,0.164577981914961,0.0117723965306307,0.4132556280655209,0.0845150716081239,0.8852571477456085,0.4550968520938761,13.571456507229366,0.1006877985316874,0.2182492755715835,4.478202512117081,0.0981267495747409,0.9828926355430868,0.1693618454312377,-0.2349254593139436,7.222222222222222
SeAFusion,30,6.864487121577797,3.3139441916172605,30.08013882768085,12.852875166427149,6.504003739962843,0.5064231940489773,0.6048000478339688,0.5780586998230662,0.0703118394134204,0.2060373931983404,0.3901306614842016,0.245280309189426,0.0135067192743277,0.3995836872324924,0.2664177295558717,1.398472860853499,0.508356798357873,14.737485402773386,0.1535375237228705,0.2157965055408817,3.09814768607638,0.1243895162644057,0.8884568718335488,0.274396710834042,0.1372412109200264,8.777777777777779
DenseFuse,30,6.5586470566136414,3.3604049974210044,25.00962963965599,9.156651754614131,4.468621642347847,0.5451926477824861,0.5726767964383848,0.6299919875114033,0.1106966630561883,0.2220669356280599,0.2684450944807344,0.2026527796326684,0.0142677695713381,0.487515688193987,0.0486934292660682,0.5121989319602036,0.3973424220733932,15.640232961885372,0.1416459828878051,0.2695506755013568,3.090854321919648,0.1322038165965659,0.958181478968406,0.2865491024716127,-0.415151945083322,9.777777777777779
IFCNN,30,6.3733633570150845,2.265665742023146,22.11198059288392,12.990470225618756,6.439914947982769,0.5131146387897392,0.6711272228178594,0.566996258173544,0.0549604310563646,0.2605592821252965,0.5531789879309519,0.2876163073399063,0.0178041570419703,0.3936972465153325,0.2001822880933717,1.55508343444222,0.5575749337397412,20.321408663420254,0.2203969435111112,0.2228722969093677,2.0427934451137784,0.1700169678280322,0.8562123097514464,0.3416009833175862,0.508056735244526,10.333333333333334
CDDFuse,30,6.8756556682470045,3.1223163909243183,32.94260217039214,11.341405304256137,5.540664342755537,0.4892301360751491,0.5954945083038502,0.5578966630394157,0.0651932582522751,0.2428319839383378,0.4065908658821413,0.1966712144819955,0.0146989744220438,0.4506741809134872,0.1969427345722676,1.3855675613102576,0.5156986598822482,17.485862471218525,0.2302973898769229,0.2518269422914425,2.870489448632876,0.1735499164918805,0.8049103556584177,0.2845746131538111,0.263994434606651,11.88888888888889
Wsh8_64,30,6.153917391999651,3.881125763185071,18.822467513051496,6.828339499035296,3.356561675406133,0.5156597302271069,0.6376921837197609,0.596146487815812,0.0805987681421349,0.225239982989699,0.4789278307648406,0.1677286839101423,0.012845175329894,0.3886911310058576,0.0105556583975421,0.9761922694837888,0.4688457985909984,22.01361762178095,0.1492951322223169,0.2073569612186931,3.673768801966377,0.1332926963021738,0.8980267641520396,0.2900184992986284,-0.1177029300386216,12.11111111111111
TarDAL,30,7.166463757032654,2.611778804402214,39.837383638114495,14.311820300339416,6.39246818332745,0.4752641150430826,0.5652008630320836,0.438371400122414,0.0488387903609692,0.2310006326027677,0.4493574259484325,0.285301273857162,0.0214528593768651,0.6359219193482811,0.2887143801921583,1.5454427914559257,0.5667909408813566,14.696245355221238,0.1836533667753504,0.3864180397452864,2.225360764656927,0.1423700511913628,0.8081581788948023,0.6587631385425996,0.905445136115554,12.666666666666666
DATFuse,30,6.143839294178987,2.56122998148374,18.71239063484748,9.425966689835208,4.476999551769953,0.522597107899125,0.6632698525999305,0.5493746137850994,0.0579583012830433,0.1662890512540954,0.5476138650684292,0.153429979385243,0.0105117818819975,0.3664234082711634,0.0712453398598814,1.2839843825466974,0.5293434218834878,15.272423446746568,0.0981283183776542,0.2017809340286304,2.3594490474551093,0.0931733524529145,0.9520208633453352,0.2430723812106183,0.283447238320224,13.333333333333334
B2shared48,30,6.161158191965746,3.520335161809088,18.86261697250622,6.5167228917872375,3.237359029652974,0.5319338760745012,0.6236566712232123,0.5529176784762456,0.0737317702885793,0.2125164175575721,0.4252190967783263,0.1426749376144339,0.0123892960038053,0.3599737813483253,0.010001980041164,0.8337943618147735,0.4426748739665707,17.041611876070984,0.1341553891996341,0.1921097252428269,3.3282254365662607,0.124636740517447,0.9392310116315552,0.1780513783076306,-0.2687699007001143,13.333333333333334
DTCWT,30,6.189155797812132,1.6452491297911294,20.047057900223784,12.17879138842059,5.994681649667011,0.4734246396532944,0.6758315670002205,0.5790815562297243,0.0486501502370096,0.3020979588718093,0.6271759269656069,0.3005221321535442,0.0193310561033982,0.4884689848992281,0.1457574809275682,1.5856606336834416,0.6084681069897456,31.11930759747357,0.2898228249554291,0.318469213510281,1.326779916280849,0.2138236558204965,0.7330256234860925,0.5159093006022462,1.1624100211150672,13.444444444444445
R1mf48,30,5.9931448045285896,3.460305712684494,17.135847789033054,5.846776457226792,2.886651205199951,0.5216487013056587,0.665979293154845,0.5153264024870564,0.0731335994189317,0.1841952398523675,0.5533760846666717,0.1257102935947185,0.0112594543760924,0.3460021559676048,0.0086107335383827,1.1696789682555344,0.5235066743190766,15.817544064164911,0.1111852162905906,0.1845216757461824,3.275784036938312,0.1044833731853532,0.9388140294259644,0.2265876507286195,0.1939299657130334,14.222222222222221
DDFM,30,6.691689196118846,2.2230703524648474,27.76627783552489,9.136243601874034,4.429226272924913,0.4876630943722106,0.6554809204075914,0.433427944488456,0.0461595625788097,0.2176043332340491,0.5789138642607813,0.2104064697125326,0.0159170668002344,0.5873862124492223,0.1804785696983082,1.8728229905628304,0.6355886210153662,18.19898965279676,0.1638692766520223,0.3649873306886494,1.8580830217761983,0.130784467547299,0.8445417211971226,0.5013414869838394,1.315429314335354,14.666666666666666
