method,n,EN,MI,SD,SF,AG,SSIM,MS_SSIM,Qabf,VIF,SSIM_hm,MS_SSIM_hm,Qabf_hm,VIF_hm,MI_hm,Nabf,SCD,CC,PSNR,Balance,MI_A,MI_B,SSIM_A,SSIM_B,FuncCorr,FuncSal
_AvgBaseline,30.0,5.797514121734396,2.851895739762995,15.149932392891415,6.5466826167649215,3.2205887028727656,0.4795583151990767,0.6958176010836059,0.3505488424858963,0.0687793578743156,0.3319161179577503,0.6769302270351,0.258141195123708,0.0229502836839311,0.6345127800157999,0.0002952709764288,1.4602852845621592,0.6480840327784728,57.16185505994159,0.3190415064047469,0.3880606207403347,2.46383511902266,0.2296786647813194,0.7294379656168339,0.5661796766152919,1.3888519734278455
CDDFuse,30.0,6.8756556682470045,3.1223163909243183,32.94260217039214,11.341405304256137,5.540664342755537,0.4892301360751491,0.5954945083038502,0.5578966630394157,0.0651932582522751,0.2428319839383378,0.4065908658821413,0.1966712144819955,0.0146989744220438,0.4506741809134872,0.1969427345722676,1.3855675613102576,0.5156986598822482,17.485862471218525,0.2302973898769229,0.2518269422914425,2.870489448632876,0.1735499164918805,0.8049103556584177,0.2845746131538111,0.263994434606651
DATFuse,30.0,6.143839294178987,2.56122998148374,18.71239063484748,9.425966689835208,4.476999551769953,0.522597107899125,0.6632698525999305,0.5493746137850994,0.0579583012830433,0.1662890512540954,0.5476138650684292,0.153429979385243,0.0105117818819975,0.3664234082711634,0.0712453398598814,1.2839843825466974,0.5293434218834878,15.272423446746568,0.0981283183776542,0.2017809340286304,2.3594490474551093,0.0931733524529145,0.9520208633453352,0.2430723812106183,0.283447238320224
DDFM,30.0,6.691689196118846,2.2230703524648474,27.76627783552489,9.136243601874034,4.429226272924913,0.4876630943722106,0.6554809204075914,0.433427944488456,0.0461595625788097,0.2176043332340491,0.5789138642607813,0.2104064697125326,0.0159170668002344,0.5873862124492223,0.1804785696983082,1.8728229905628304,0.6355886210153662,18.19898965279676,0.1638692766520223,0.3649873306886494,1.8580830217761983,0.130784467547299,0.8445417211971226,0.5013414869838394,1.315429314335354
DTCWT,30.0,6.189155797812132,1.6452491297911294,20.047057900223784,12.17879138842059,5.994681649667011,0.4734246396532944,0.6758315670002205,0.5790815562297243,0.0486501502370096,0.3020979588718093,0.6271759269656069,0.3005221321535442,0.0193310561033982,0.4884689848992281,0.1457574809275682,1.5856606336834416,0.6084681069897456,31.11930759747357,0.2898228249554291,0.318469213510281,1.326779916280849,0.2138236558204965,0.7330256234860925,0.5159093006022462,1.1624100211150672
DWT,30.0,5.925556381714458,1.9078002261601208,16.67257638952017,11.5360465618636,5.654487885340192,0.4634465516580019,0.6928018194924676,0.4194508278240324,0.0446956166747457,0.3181358450232834,0.672392810708272,0.2882512104313512,0.0222186663552496,0.5510386715925943,0.1160049070271008,1.4886512525645303,0.6296077227780342,36.40767753751387,0.325982821746236,0.3610172543427154,1.546782971817405,0.2323782042420378,0.6945148990739661,0.5839558787389223,1.368970394744964
DenseFuse,30.0,6.5586470566136414,3.3604049974210044,25.00962963965599,9.156651754614131,4.468621642347847,0.5451926477824861,0.5726767964383848,0.6299919875114033,0.1106966630561883,0.2220669356280599,0.2684450944807344,0.2026527796326684,0.0142677695713381,0.487515688193987,0.0486934292660682,0.5121989319602036,0.3973424220733932,15.640232961885372,0.1416459828878051,0.2695506755013568,3.090854321919648,0.1322038165965659,0.958181478968406,0.2865491024716127,-0.415151945083322
GTF,30.0,6.351020457925864,1.999981265039648,21.70438983524922,9.099892157297525,4.305665914234928,0.4613166174374498,0.6077904869625309,0.3220838173758539,0.0349593288214112,0.2579402105381962,0.432427991314371,0.2883220150363398,0.0238350479196301,0.4336833935043953,0.0646512800233331,0.9584910702013378,0.44846516815436,14.25603546727752,0.2464281940173741,0.2520906775377256,1.7478905875019222,0.170749187037321,0.751884047837579,0.1769262228058306,-0.0655606796853416
IFCNN,30.0,6.3733633570150845,2.265665742023146,22.11198059288392,12.990470225618756,6.439914947982769,0.5131146387897392,0.6711272228178594,0.566996258173544,0.0549604310563646,0.2605592821252965,0.5531789879309519,0.2876163073399063,0.0178041570419703,0.3936972465153325,0.2001822880933717,1.55508343444222,0.5575749337397412,20.321408663420254,0.2203969435111112,0.2228722969093677,2.0427934451137784,0.1700169678280322,0.8562123097514464,0.3416009833175862,0.508056735244526
LP,30.0,6.469155229578829,1.5344539606874248,24.33427095030401,12.60109308949632,6.272051673313303,0.4553982693098403,0.6144513503633136,0.5723248596085889,0.0532283741441174,0.3080126320968283,0.5524763954895574,0.3115272862651672,0.0207130771435131,0.4920369509987373,0.1755564747248423,1.5799487851234162,0.5801751588293541,26.24687640868589,0.3139561230385465,0.3330685386517343,1.2013854220356903,0.2224120800733903,0.6883844585462903,0.5449194449167204,1.1636171482195603
