method,n,EN,MI,SD,SF,AG,SSIM,MS_SSIM,Qabf,VIF,SSIM_hm,MS_SSIM_hm,Qabf_hm,VIF_hm,MI_hm,Nabf,SCD,CC,PSNR,Balance,MI_A,MI_B,SSIM_A,SSIM_B,FuncCorr,FuncSal,AvgRank
CDDFuse,50,6.603305512035063,4.921301674688496,42.00529744950962,11.044554438528872,4.1363109792082176,0.7145051020720546,0.7593842887965796,0.6805363479388495,0.0971362426667662,0.6229016155497116,0.6957279474929007,0.4189388025960198,0.0416932626296439,1.260024213915144,0.1107110061994926,1.6566649729281562,0.6063460183788252,19.87977401800782,0.5603096263777079,3.766318270319284,1.1549834043692115,0.8760428009550298,0.5529674031890793,0.4525796372290266,0.7901707452609569,4.0
SeAFusion,50,6.590123801163414,3.983007414441715,41.62748688383336,10.902616431689124,4.112396081786791,0.7183130173417008,0.7652980564765042,0.668140480949305,0.0726595361632452,0.6416496220776264,0.7093446272084108,0.4692062795708462,0.0395055716106814,1.1535059947543085,0.1223862978466352,1.725001866126278,0.6155855593970516,20.26052015315945,0.5943537806139237,3.017565272892639,0.9654421415490752,0.8681710966215018,0.5684549380619,0.4603861561968956,0.8307233598644091,5.222222222222222
SwinFusion,50,6.52415591424477,4.728202266283509,41.36378307870564,10.492375195184822,3.8290186967209614,0.7254428493457415,0.7661172038549418,0.6556655785442292,0.0885413055219539,0.6340965074331946,0.7019939396154813,0.3663306260311024,0.0329737703221986,1.0008959272574192,0.0629136553285346,1.697514993777354,0.6021190524540834,20.087147611504,0.5569563082862645,4.063708907646772,0.6644933586367355,0.929179154605718,0.5217065440857651,0.4345437250195273,0.7067849906814068,5.333333333333333
PIAFusion,50,6.466084926191513,4.554657817600156,41.11935472931853,10.958003091917094,4.131853389304135,0.7058121695150815,0.7612690173882173,0.6779425136024386,0.0860564676301627,0.6172919883970421,0.6990543025804008,0.4440336601020175,0.0372831786092613,1.1006637235504235,0.0928420365811412,1.6213668167145456,0.6020967847353621,19.56761459969018,0.5641219252861865,3.6166676022359816,0.9379902153641752,0.8677679197915625,0.5438564192386004,0.4291599843723619,0.7553698279183202,5.666666666666667
DenseFuse,50,6.3735853287793445,3.8610726096851935,37.06156839490732,9.117068370263706,3.306634697437961,0.7384427595820455,0.7716927537863151,0.6331297670546672,0.0745563744480267,0.6712883229424602,0.7211346649914729,0.4155433295037994,0.04145683589264,1.2121942904117369,0.0164057818918819,1.380124542847588,0.5978688345573356,22.416646266504515,0.6233870566968716,2.8055311761980084,1.0555414334871855,0.8814418867572777,0.595443632406813,0.4688301366845875,0.7739104087957039,6.888888888888889
IFCNN,50,6.336132064077881,2.87631982778471,34.08839275556045,11.53482203521924,4.443278515716712,0.7221512707392544,0.783129441418081,0.6166414463638809,0.0539413043951647,0.6625186482443469,0.7458510917711338,0.4753496914665319,0.0365875381746065,0.9759621335838328,0.1316881771523269,1.5260448933768862,0.6291073434287039,24.420637669385098,0.6307001440132379,2.0520003293693843,0.8243194984153255,0.8486976298655594,0.5956049116129496,0.4605555374168201,0.8992396712764659,7.444444444444445
DATFuse,50,6.378603626017704,3.8511270445064936,35.40153457592152,10.477832813514738,4.124530403941105,0.6197744671986724,0.7530020926197857,0.6312634386225077,0.0693816740590737,0.5253526233677062,0.7001661731135229,0.4428237111626748,0.0391634757365733,1.2121389013304873,0.1030452073843724,1.4168585627232952,0.6052346124508289,17.61251890204566,0.5386411867955492,2.82143467602806,1.0296923684784332,0.7719848344218544,0.4675640999754901,0.4374845570357473,0.8086399350360027,9.666666666666666
LP,50,6.224777368892757,1.873794153598585,30.670977019952897,11.071987957079063,4.3686722184492615,0.6956638954694669,0.756841559159451,0.628328284482385,0.0527152865871061,0.6612812565378866,0.7313803001911333,0.4857443338388829,0.0372239506981106,0.6918128861558747,0.1311025111561154,1.387643203553384,0.6267165189658619,26.85898983778683,0.7019632421415293,1.3237785246816571,0.5500156289169275,0.7917695324351455,0.5995582585037884,0.5107979139649629,0.939467296628647,11.666666666666666
DTCWT,50,6.079346413783124,1.940455700209473,26.92148262395777,10.670433365174183,4.1875403926492405,0.7078058590366194,0.7806127798748119,0.6110717007502805,0.0478939304287058,0.6716821944881365,0.761777873888725,0.4598881912766531,0.0331596239336997,0.7020500264157722,0.1164558025441069,1.2984443681529216,0.6361297655951812,30.39122519045057,0.6982098123204526,1.3880623659472422,0.5523933342622306,0.8045236675711892,0.6110880505020497,0.4765739488713483,0.9733917606093192,12.333333333333334
Wsh8_64,50,5.95644697842925,3.6867425106546143,27.42626609435214,6.616954521654841,2.461051669319546,0.668249444685519,0.7764891334029436,0.4819383792681609,0.0633307712131584,0.6031418841721419,0.7419165387710219,0.2435652415775147,0.0310006355914016,0.9971878583144828,0.0057003956627673,1.1461330829532488,0.6035686866472139,23.130997413192635,0.6059867847067444,2.9280712970855003,0.7586712135691143,0.8030894410664906,0.5334094483045472,0.3270482259726437,0.7522124737288578,12.555555555555555
NSCT*,50,6.173196438928406,1.923856912119548,29.568786017090268,10.73282141592571,4.170487927752828,0.6975709542949662,0.7566488143586122,0.6025988590359161,0.0501086494071591,0.6627704157653963,0.7313313318668883,0.4528347920707485,0.0345423478697316,0.6992032975446114,0.0786074712148331,1.3287907171234905,0.6196063069912593,27.334102301518712,0.6994866540893377,1.3729416939421353,0.5509152181774128,0.7932548382086239,0.6018870703813083,0.4938179846904545,0.9086655708643988,13.11111111111111
DWT,50,5.933008048253994,2.1813368315146984,23.83924593370784,9.63212064441227,3.991216037143404,0.7181874511548685,0.7966812493688061,0.4717816822508234,0.0399035625836131,0.6920396930813046,0.7877315890095404,0.3917719264136826,0.03124952270396,0.8075579727802927,0.1094312477632392,1.2541285574823022,0.6562123689844341,36.36508909544826,0.7371032546916169,1.5448866585530276,0.6364501729616705,0.7961759184552721,0.640198983854465,0.4764883842201179,1.072193292251846,14.11111111111111
RFN-Nest,50,6.096669683330744,2.446530743127105,28.308997210410347,5.878440599361098,2.1337233332310857,0.7106417294938745,0.792496447796004,0.381688896926605,0.0461062589303944,0.684744807181942,0.7792828513572277,0.1951269380161531,0.0299186998665577,0.8921271472823701,0.0229073365137049,1.4900119839654038,0.6698595526964931,29.955397006494387,0.7238609108529451,1.8040439231928915,0.6424868199342132,0.8243167130840476,0.5969667459037014,0.4516732072840672,1.1589932317502192,15.444444444444445
R1mf48,50,5.558747444258429,3.5107073433410285,32.30877413331878,8.036101370658821,2.647150712470625,0.589257228571205,0.7494433307715379,0.4207463899473926,0.0546876360058737,0.5064035156753893,0.6998713316321808,0.128290156446891,0.0268348562634208,0.9835107654769468,0.0227371862810595,1.0983277264098197,0.5741785717197112,17.99712598409467,0.5601252213839656,2.6243501939917,0.8863571493493282,0.7462972385566973,0.432217218585713,0.243318702663615,0.6485550878294716,15.777777777777779
B2shared48,50,5.660604860672795,3.507293484057548,25.722005540141467,5.8267015072416415,2.037884530282433,0.6676932520610886,0.7710043942495086,0.3626368264472169,0.0596532409844291,0.6064855680645598,0.7311711558604981,0.1143746623124564,0.0277027401736018,0.8916977833273674,0.0045666144776578,0.9273281176702852,0.5754996028244874,24.29191743819024,0.6172755265748099,2.8798996708890745,0.6273938131684739,0.8075888787361849,0.5277976253859923,0.1905592369202439,0.5575400135029901,16.22222222222222
TarDAL,50,6.377579810773541,2.60070887737259,36.20158370038296,10.193131752660944,4.037812309569869,0.4951886672686699,0.7271018789093024,0.4225760840892036,0.0409569632255991,0.430974217690929,0.697492964203468,0.3503278682261552,0.0300693155610903,0.8827823429468854,0.1759191906675327,1.5397633539240372,0.6366426785398773,14.487953347624874,0.557129040859965,1.8787353593455125,0.7219735180270775,0.6228069353440542,0.367570399193286,0.604185617082229,1.1232893342015118,16.333333333333332
DDFM,50,6.089905212901374,2.356878671712025,28.53677893637167,6.357548358975111,2.391563765825333,0.7041486010471343,0.7867922394202492,0.3160578994201101,0.0355754991996229,0.6761944618189375,0.7709230476358817,0.264125700412819,0.029313608701278,0.9214246933931324,0.0763043696789739,1.4457095529112387,0.6607963800372418,29.98128470054724,0.7460344515777214,1.6674717379836212,0.689406933728404,0.8026763708745248,0.6056208312197435,0.4820649848724073,1.084224255540206,17.11111111111111
LRRNet,50,6.109160593451911,2.9353136535772224,31.14712567701338,8.140054537415727,2.929441730396633,0.6087995936870795,0.720887967697866,0.4133396541722587,0.0459515823974693,0.5232759645617984,0.6530465416894577,0.0938508643837252,0.0264762812441789,0.9275931202776172,0.0462799635630938,0.7397527955302107,0.5154556199827405,21.16580104197101,0.5457535824508095,2.315405026193911,0.6199086273833112,0.804754528665292,0.4128446587088668,0.3109409825855617,0.2000367214863254,17.22222222222222
Wmoe8,50,5.946836778896977,3.6782408655353738,24.726658366224527,6.455597626406971,2.3846149243897106,0.5179943224423639,0.7416189242155675,0.4273752513263125,0.0585786922299658,0.4321703081784084,0.7022673132092581,0.1545408164584684,0.0238183179406024,0.8340637164935562,0.0170653829801894,0.9900851608436732,0.5786753385651596,15.4286712167875,0.5177919928325901,3.1124404250675624,0.5658004404678121,0.6744914686940578,0.36149717619067,0.258132243242504,0.5769252665962145,17.444444444444443
B2oc48hi,50,5.417785983676442,3.372297046345304,28.64288643380285,6.32413733991249,2.0260198282866826,0.6515085476486122,0.7631830651359016,0.3316421265230497,0.0524735341686724,0.5936417015777785,0.7215118172741031,0.0874919985011902,0.0248525432212878,0.8623936777696524,0.010140554270809,0.958537378049306,0.561294781094759,22.93770813858146,0.6238083277702051,2.771971144154365,0.6003259021909387,0.787983226971118,0.5150338683261068,0.1671761097136617,0.5133279391847598,17.77777777777778
B2oc48,50,5.32536100644102,3.2871035009208134,23.3214635384434,5.298136348524347,1.834622778659701,0.6950435399089343,0.7735286734587283,0.2733200191583673,0.0551734427269029,0.6631859254971312,0.748203433681815,0.1008134267900161,0.0267236341075732,0.8767851273120332,0.0033372868835301,0.9087283276976292,0.585105144514516,29.666095413730982,0.7150419165002156,2.6122035026408126,0.6748999982800005,0.7873541777392796,0.602732902078589,0.2519283845885111,0.625815858501812,18.555555555555557
U2Fusion,50,4.882006650868196,1.9606922427817224,19.495487459754848,6.845511507278856,2.420992664620277,0.6886451197966414,0.7822033563860835,0.3278534538491562,0.0379662388671004,0.6817505380726872,0.7806265454613996,0.2775138508541819,0.030785760318939,0.7832676469268618,0.0275227535874211,1.0534549940572209,0.6543140476334226,27.5654774856794,0.8545014930821594,1.2149001619688682,0.7457920808128543,0.7017267280152754,0.6755635115780073,0.5087781975880188,1.1858850676242425,19.666666666666668
MURF,50,5.179648124089698,1.3622206455336276,18.31939050494341,12.169952832843627,4.750257237410652,0.5542914041229774,0.7456374685805194,0.3409410999588371,0.0264377754061035,0.5315422733172892,0.7440433609167634,0.3050938004861037,0.0213449714205149,0.5748898603936873,0.1855980582227239,0.8945926497079836,0.6030991580568255,22.35978843539997,0.7312394429281559,0.7342030076137135,0.6280176379199142,0.5890221884634409,0.5195606197825139,0.5318233493082345,1.2067390023782492,20.11111111111111
Wsh10,50,5.285211447220857,3.6031688556479895,18.401377892797488,4.864530150058365,1.7752236674144326,0.6172089329294974,0.7572909764659687,0.2161680745450857,0.0580475936680266,0.578403741105031,0.7446247347569752,0.1330698329736496,0.0310894094925787,1.0501046351421346,0.0031357109874581,0.8708262256028224,0.6104523703998836,24.98751734705901,0.6733067174061995,2.675627179232525,0.9275416764154644,0.7046095156518537,0.529808350207141,0.4034277356970827,0.8579631200751008,20.22222222222222
GTF,50,5.365599264887502,1.62839911625296,17.533305620208754,6.7159076798691215,2.611337961114821,0.6646678438058633,0.7524692860361941,0.357485375662038,0.0391693755041725,0.6428496670702987,0.7152784162214093,0.2424484776849007,0.0268726539335714,0.6796174495554941,0.0299132233954623,0.6750076192883954,0.5473055627417417,20.22106955321332,0.724580557113083,0.5047047483858371,1.1236943678671227,0.5606158001378632,0.7687198874738632,0.8372307224316455,2.045792311322464,21.333333333333332
