method,n,EN,MI,SD,SF,AG,SSIM,MS_SSIM,Qabf,VIF,SSIM_hm,MS_SSIM_hm,Qabf_hm,VIF_hm,MI_hm,Nabf,SCD,CC,PSNR,Balance,MI_A,MI_B,SSIM_A,SSIM_B,FuncCorr,FuncSal
CDDFuse,50.0,6.603305512035063,4.921301674688496,42.00529744950962,11.044554438528872,4.1363109792082176,0.7145051020720546,0.7593842887965796,0.6805363479388495,0.0971362426667662,0.6229016155497116,0.6957279474929007,0.4189388025960198,0.0416932626296439,1.260024213915144,0.1107110061994926,1.6566649729281562,0.6063460183788252,19.87977401800782,0.5603096263777079,3.766318270319284,1.1549834043692115,0.8760428009550298,0.5529674031890793,0.4525796372290266,0.7901707452609569
DenseFuse,50.0,6.3735853287793445,3.8610726096851935,37.06156839490732,9.117068370263706,3.306634697437961,0.7384427595820455,0.7716927537863151,0.6331297670546672,0.0745563744480267,0.6712883229424602,0.7211346649914729,0.4155433295037994,0.04145683589264,1.2121942904117369,0.0164057818918819,1.380124542847588,0.5978688345573356,22.416646266504515,0.6233870566968716,2.8055311761980084,1.0555414334871855,0.8814418867572777,0.595443632406813,0.4688301366845875,0.7739104087957039
IFCNN,50.0,6.336132064077881,2.87631982778471,34.08839275556045,11.53482203521924,4.443278515716712,0.7221512707392544,0.783129441418081,0.6166414463638809,0.0539413043951647,0.6625186482443469,0.7458510917711338,0.4753496914665319,0.0365875381746065,0.9759621335838328,0.1316881771523269,1.5260448933768862,0.6291073434287039,24.420637669385098,0.6307001440132379,2.0520003293693843,0.8243194984153255,0.8486976298655594,0.5956049116129496,0.4605555374168201,0.8992396712764659
SwinFusion,50.0,6.52415591424477,4.728202266283509,41.36378307870564,10.492375195184822,3.8290186967209614,0.7254428493457415,0.7661172038549418,0.6556655785442292,0.0885413055219539,0.6340965074331946,0.7019939396154813,0.3663306260311024,0.0329737703221986,1.0008959272574192,0.0629136553285346,1.697514993777354,0.6021190524540834,20.087147611504,0.5569563082862645,4.063708907646772,0.6644933586367355,0.929179154605718,0.5217065440857651,0.4345437250195273,0.7067849906814068
TarDAL,50.0,6.377579810773541,2.60070887737259,36.20158370038296,10.193131752660944,4.037812309569869,0.4951886672686699,0.7271018789093024,0.4225760840892036,0.0409569632255991,0.430974217690929,0.697492964203468,0.3503278682261552,0.0300693155610903,0.8827823429468854,0.1759191906675327,1.5397633539240372,0.6366426785398773,14.487953347624874,0.557129040859965,1.8787353593455125,0.7219735180270775,0.6228069353440542,0.367570399193286,0.604185617082229,1.1232893342015118
LP,50.0,6.224777368892757,1.873794153598585,30.670977019952897,11.071987957079063,4.3686722184492615,0.6956638954694669,0.756841559159451,0.628328284482385,0.0527152865871061,0.6612812565378866,0.7313803001911333,0.4857443338388829,0.0372239506981106,0.6918128861558747,0.1311025111561154,1.387643203553384,0.6267165189658619,26.85898983778683,0.7019632421415293,1.3237785246816571,0.5500156289169275,0.7917695324351455,0.5995582585037884,0.5107979139649629,0.939467296628647
DWT,50.0,5.933008048253994,2.1813368315146984,23.83924593370784,9.63212064441227,3.991216037143404,0.7181874511548685,0.7966812493688061,0.4717816822508234,0.0399035625836131,0.6920396930813046,0.7877315890095404,0.3917719264136826,0.03124952270396,0.8075579727802927,0.1094312477632392,1.2541285574823022,0.6562123689844341,36.36508909544826,0.7371032546916169,1.5448866585530276,0.6364501729616705,0.7961759184552721,0.640198983854465,0.4764883842201179,1.072193292251846
PIAFusion,50.0,6.466084926191513,4.554657817600156,41.11935472931853,10.958003091917094,4.131853389304135,0.7058121695150815,0.7612690173882173,0.6779425136024386,0.0860564676301627,0.6172919883970421,0.6990543025804008,0.4440336601020175,0.0372831786092613,1.1006637235504235,0.0928420365811412,1.6213668167145456,0.6020967847353621,19.56761459969018,0.5641219252861865,3.6166676022359816,0.9379902153641752,0.8677679197915625,0.5438564192386004,0.4291599843723619,0.7553698279183202
DTCWT,50.0,6.079346413783124,1.940455700209473,26.92148262395777,10.670433365174183,4.1875403926492405,0.7078058590366194,0.7806127798748119,0.6110717007502805,0.0478939304287058,0.6716821944881365,0.761777873888725,0.4598881912766531,0.0331596239336997,0.7020500264157722,0.1164558025441069,1.2984443681529216,0.6361297655951812,30.39122519045057,0.6982098123204526,1.3880623659472422,0.5523933342622306,0.8045236675711892,0.6110880505020497,0.4765739488713483,0.9733917606093192
GTF,50.0,5.365599264887502,1.62839911625296,17.533305620208754,6.7159076798691215,2.611337961114821,0.6646678438058633,0.7524692860361941,0.357485375662038,0.0391693755041725,0.6428496670702987,0.7152784162214093,0.2424484776849007,0.0268726539335714,0.6796174495554941,0.0299132233954623,0.6750076192883954,0.5473055627417417,20.22106955321332,0.724580557113083,0.5047047483858371,1.1236943678671227,0.5606158001378632,0.7687198874738632,0.8372307224316455,2.045792311322464
