method,n,EN,MI,SD,SF,AG,SSIM,MS_SSIM,Qabf,VIF,SSIM_hm,MS_SSIM_hm,Qabf_hm,VIF_hm,MI_hm,Nabf,SCD,CC,PSNR,Balance,MI_A,MI_B,SSIM_A,SSIM_B,FuncCorr,FuncSal,AvgRank
CDDFuse,48,5.373219571957438,3.731690239679667,79.50309343488587,28.10777994936844,10.571254035976647,0.7246651058405308,0.7515415291643902,0.7080816123206425,0.0944575889884125,0.6600032328848119,0.6961520919260704,0.2898939771288666,0.0366808570106937,1.5729369997592493,0.068447931696616,1.705143256518782,0.8495824518919122,17.36091117623526,0.5568812342534208,1.1612061285051407,2.5704841111745265,0.5180544844804958,0.9312757272005656,0.3149226023786937,1.5346449976191672,5.222222222222222
SwinFusion,48,5.947838714412119,3.4735870657319388,69.98629839787489,28.118775975637828,10.97949494464739,0.3389226395183177,0.7358579819674674,0.7390320108783607,0.075650882109227,0.2130931033780237,0.675401172138856,0.3334522654983765,0.0259376820330373,1.3735496684464887,0.0614190294718469,0.9758030019946312,0.8293316942371808,17.64448959639455,0.2522783073143993,0.9660785798102466,2.5075084859216923,0.1344672690515427,0.5433780099850928,0.2388233089705925,1.4519905255991732,5.888888888888889
IFCNN,48,5.182968546623271,2.947504210547036,67.52868899502984,29.070763427579777,11.284198590815407,0.7306840049047757,0.767495490296317,0.6710898366435519,0.0683013512616196,0.6861377676914535,0.7295149954839731,0.3663148555631017,0.0401005050960194,1.3394943618725532,0.0829412317493998,1.0783812362145382,0.8511917177793977,22.16683602387264,0.6176227591826184,1.0755393169044014,1.8719648936426343,0.5580027661194115,0.90336524369014,0.4542701548344361,1.6221875146373463,7.777777777777778
PIAFusion,48,5.63818085595486,3.1412887975740897,73.35877589896094,26.57548357738661,10.46621867058571,0.3602023942660703,0.747391148639246,0.6833967938860835,0.0646704275169184,0.2885130351689391,0.7094912386941562,0.4713538924189821,0.0402285257409245,1.3931219378547508,0.0696140452641321,1.39590830256037,0.8532168908662547,18.10385140179785,0.41332744146821,1.101265417140946,2.040023380433144,0.2052461696561653,0.5151586188759755,0.4658094476410628,1.6609258049970326,7.888888888888889
DenseFuse,48,5.130711873220341,3.707583167036791,67.49152219075147,24.813181352199024,9.232430440126702,0.7410889178553376,0.7557952184225544,0.6552860761614789,0.1006696727125526,0.7028403356933829,0.7084546090052682,0.4050689169558834,0.0519687212032997,1.567822743119297,0.0061088276246034,0.8689599989542262,0.8316161944137915,21.153773312046106,0.6522997616580345,1.1910438621868509,2.5165393048499403,0.5842008385222107,0.8979769971884647,0.5390308059979074,1.508150857776501,8.333333333333334
DDFM,48,5.165020103906168,3.5123036073610963,67.41659886011513,18.58762741062834,7.3014532221768595,0.7145244315481039,0.7718136749451044,0.5456927100750885,0.0854310683046274,0.6951212399504128,0.7599645785342034,0.3958924462200474,0.0544876337439557,1.5971661094700285,0.0233811642463654,1.410432648118528,0.8893414031628151,26.032479109918864,0.7278315221956699,1.2991069786434644,2.213196628717632,0.6025551355457256,0.8264937275504819,0.4270227717779618,1.9413554992850064,9.444444444444445
LP,48,4.981712559893174,2.7396031627872035,66.36609231084947,27.162679882528654,10.33502286514346,0.7149534296769295,0.7671436796566541,0.6585075170401024,0.0758697496070526,0.6855157285914323,0.7448881210797049,0.4058965515348072,0.0493256663064285,1.3130358332148953,0.0813145483957486,1.0525142241226575,0.8568367406564543,23.04122343348936,0.6731306599327699,1.1322932806602444,1.6073098821269596,0.575340736890188,0.854566122463671,0.404299938350037,1.7949278675578484,10.333333333333334
SeAFusion,48,5.731523179409393,2.98550309108096,76.27836902438632,23.838741176691087,9.45680104904128,0.6618997015187085,0.7512779514469102,0.6326328645100682,0.0533555241593407,0.6175240310517176,0.7051639529542847,0.4218184171068183,0.0361822666436047,1.3583477990372224,0.0712232393657786,1.5248018541582011,0.8527658104572623,17.980517681335424,0.6083653073491299,1.0952440864924966,1.8902590045884624,0.4995526817365137,0.8242467213009034,0.475793278591072,1.6101823418512595,10.555555555555555
DATFuse,48,5.676306928221485,3.034097888094053,63.20026976804695,29.115856222643043,11.13672155412609,0.3153655426678799,0.7342376134016836,0.6008821434748494,0.0490808410782702,0.2490056885363214,0.7065580938257873,0.4284961049168316,0.0358188385774025,1.413276141294488,0.0615521878986107,0.9388115343245196,0.8582860262910469,19.15855329289489,0.4222298204423499,1.1969436083075011,1.837154279786552,0.1788783675601616,0.4518527177755984,0.6850763619008232,1.682951205420448,11.555555555555555
Wsh8_64,48,5.680138069185223,3.254497838652157,59.80957645807039,18.318488834973326,7.226077694983542,0.3584216068756638,0.7495824122421394,0.56368820342974,0.0598700596702793,0.3092115728289863,0.722870058169269,0.4185982734361679,0.0428120461463176,1.451535211170708,0.0087286377203076,0.7820458505803503,0.8643386215248524,23.53821536475321,0.5180025365861235,1.1692827967843276,2.085215041867829,0.2365692217871502,0.4802739919641774,0.6474944881306307,1.7635056627713288,11.666666666666666
DTCWT,48,5.448966750556617,2.5465169480076377,61.62665732541219,26.46469792610917,10.230548350744998,0.6649369104408479,0.7619551209707266,0.6487482776666199,0.0582298744036173,0.6283455808440647,0.7422245192102005,0.3546531133263587,0.0362655656650709,1.2171140595597476,0.0766016065712204,0.8634847552641789,0.8617810613859476,25.218157347866804,0.6305614078527779,1.0363448201915586,1.5101721278160791,0.5144328234303615,0.815440997451334,0.3497106776968907,1.7974704859309334,11.88888888888889
NSCT*,48,5.033917339655516,2.7048888685333297,62.91849034250344,26.53329431069871,10.10896986538132,0.7091372645156699,0.7588315182786493,0.6559679140580214,0.06742583080211,0.6708749076185735,0.7319317669456898,0.3474028352370513,0.0428158219827011,1.2731860757430231,0.0478701161995999,0.8315550238734367,0.8513181279015578,23.738379434905287,0.6334407860096657,1.0562419903413451,1.648646878191985,0.5501627099470118,0.8681118190843281,0.3328194796509732,1.6702104831185831,12.222222222222221
MURF,48,5.671160036106998,2.5209142195244403,76.9820469827675,43.88643994670039,17.47610349458942,0.3277013762636635,0.7255606297258902,0.5151459571541236,0.0484161461878304,0.2239324664788667,0.6932907405478499,0.2252129574477273,0.0240770697425685,1.165992428111019,0.2946587950400505,1.3081614482386346,0.8386272081091768,16.57801832064489,0.2986242294015797,0.9520325092606364,1.5688817102638035,0.1465055536419895,0.5088971988853374,0.2216833286386014,1.609360146793092,13.0
