method,n,EN,MI,SD,SF,AG,SSIM,MS_SSIM,Qabf,VIF,SSIM_hm,MS_SSIM_hm,Qabf_hm,VIF_hm,MI_hm,Nabf,SCD,CC,PSNR,Balance,MI_A,MI_B,SSIM_A,SSIM_B,FuncCorr,FuncSal
CDDFuse,48.0,5.373219571957438,3.731690239679667,79.50309343488587,28.10777994936844,10.571254035976647,0.7246651058405308,0.7515415291643902,0.7080816123206425,0.0944575889884125,0.6600032328848119,0.6961520919260704,0.2898939771288666,0.0366808570106937,1.5729369997592493,0.068447931696616,1.705143256518782,0.8495824518919122,17.36091117623526,0.5568812342534208,1.1612061285051407,2.5704841111745265,0.5180544844804958,0.9312757272005656,0.3149226023786937,1.5346449976191672
DATFuse,48.0,5.676306928221485,3.034097888094053,63.20026976804695,29.115856222643043,11.13672155412609,0.3153655426678799,0.7342376134016836,0.6008821434748494,0.0490808410782702,0.2490056885363214,0.7065580938257873,0.4284961049168316,0.0358188385774025,1.413276141294488,0.0615521878986107,0.9388115343245196,0.8582860262910469,19.15855329289489,0.4222298204423499,1.1969436083075011,1.837154279786552,0.1788783675601616,0.4518527177755984,0.6850763619008232,1.682951205420448
DDFM,48.0,5.165020103906168,3.5123036073610963,67.41659886011513,18.58762741062834,7.3014532221768595,0.7145244315481039,0.7718136749451044,0.5456927100750885,0.0854310683046274,0.6951212399504128,0.7599645785342034,0.3958924462200474,0.0544876337439557,1.5971661094700285,0.0233811642463654,1.410432648118528,0.8893414031628151,26.032479109918864,0.7278315221956699,1.2991069786434644,2.213196628717632,0.6025551355457256,0.8264937275504819,0.4270227717779618,1.9413554992850064
DTCWT,48.0,5.448966750556617,2.5465169480076377,61.62665732541219,26.46469792610917,10.230548350744998,0.6649369104408479,0.7619551209707266,0.6487482776666199,0.0582298744036173,0.6283455808440647,0.7422245192102005,0.3546531133263587,0.0362655656650709,1.2171140595597476,0.0766016065712204,0.8634847552641789,0.8617810613859476,25.218157347866804,0.6305614078527779,1.0363448201915586,1.5101721278160791,0.5144328234303615,0.815440997451334,0.3497106776968907,1.7974704859309334
DWT,48.0,5.167278949512502,2.6024928806063428,58.42134477280792,25.29144357716592,10.218365620195152,0.701037173468395,0.7687308864960244,0.5387207190745765,0.063873354752106,0.6716656006052985,0.7582786321131314,0.3348933503378617,0.0400959024335958,1.2514367651460028,0.0763463385471261,0.8382015635323204,0.8772987454010254,29.161178958949147,0.6710321315497444,1.091370630912232,1.5111222496941108,0.5638192799254834,0.8382550670113065,0.389204482206207,1.8821009818073609
DenseFuse,48.0,5.130711873220341,3.707583167036791,67.49152219075147,24.813181352199024,9.232430440126702,0.7410889178553376,0.7557952184225544,0.6552860761614789,0.1006696727125526,0.7028403356933829,0.7084546090052682,0.4050689169558834,0.0519687212032997,1.567822743119297,0.0061088276246034,0.8689599989542262,0.8316161944137915,21.153773312046106,0.6522997616580345,1.1910438621868509,2.5165393048499403,0.5842008385222107,0.8979769971884647,0.5390308059979074,1.508150857776501
GTF,48.0,5.332144643674089,2.772323379006836,65.34110752471548,13.386312015630168,4.950835727267269,0.6738479944071957,0.7434844939565934,0.2830806428863743,0.044924268793682,0.6622362621673851,0.6834863730584756,0.2997263535609268,0.0392272611521407,1.3064607309098644,0.0182639008935688,0.7000039622073323,0.8208068515888272,20.09409056591721,0.7959164908885482,1.106940567277795,1.6653828117290412,0.5984882105279327,0.7492077782864589,0.1965901531591771,1.3744119633652654
IFCNN,48.0,5.182968546623271,2.947504210547036,67.52868899502984,29.070763427579777,11.284198590815407,0.7306840049047757,0.767495490296317,0.6710898366435519,0.0683013512616196,0.6861377676914535,0.7295149954839731,0.3663148555631017,0.0401005050960194,1.3394943618725532,0.0829412317493998,1.0783812362145382,0.8511917177793977,22.16683602387264,0.6176227591826184,1.0755393169044014,1.8719648936426343,0.5580027661194115,0.90336524369014,0.4542701548344361,1.6221875146373463
LP,48.0,4.981712559893174,2.7396031627872035,66.36609231084947,27.162679882528654,10.33502286514346,0.7149534296769295,0.7671436796566541,0.6585075170401024,0.0758697496070526,0.6855157285914323,0.7448881210797049,0.4058965515348072,0.0493256663064285,1.3130358332148953,0.0813145483957486,1.0525142241226575,0.8568367406564543,23.04122343348936,0.6731306599327699,1.1322932806602444,1.6073098821269596,0.575340736890188,0.854566122463671,0.404299938350037,1.7949278675578484
LRRNet,48.0,5.406696289202924,2.500209055369338,50.045259896762126,13.824786636267287,5.9543628433039,0.1962920264086833,0.6916998302216394,0.1687603702761668,0.0306798378197606,0.1867246537613474,0.6800924571217574,0.1578520706510479,0.0251306696208304,1.2249629938076314,0.0719865389919574,0.3144003563568743,0.8359378981760889,18.25506921160603,0.7019914953730418,1.3275304871789009,1.1726785681904373,0.2303531418921721,0.1622309109251945,0.5444510556447786,2.340386660009024
